PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1.304122362194141,0.9168753418291484,-0.586559783140903,0.0783986329835261,-0.10827527374083319,-0.9329772381063234,0.6505317141480179,-0.8515928869816237,1.0874947720872372,-1.5759289425508825
3.447150547316339,0.8638615841389344,3.449417708181276,-1.2628740917360917,-1.2358064520552945,1.2368182858568082,0.09492808995156728,1.0778754125372427,0.42061701869617785,-0.7652790962324475
-0.689917771122501,-1.4925943200747347,-0.4234324678872834,0.5158616381659255,0.2597520510986606,-1.3161398070620929,-0.1564467062803638,0.6532084177686903,-0.8270712985574951,1.072001645155579
-0.360543358427981,-1.3106482927439218,-0.3831026115341354,0.3812959062318518,0.04260518534514776,-1.7282396277035426,0.4138074006720444,0.19329741649710014,0.40409985553274325,-0.8269743771423933
0.42319733491214573,3.946500157623869,0.3462521244316021,-0.5417216231349861,-0.4330547613245505,-0.11538830741830908,-0.00954801693047503,0.5331133126829652,-0.6843130117687216,0.9564564455593817
-2.1662703553153655,1.1917050045965742,-2.0228893580231535,-0.18624411307941113,-0.6454921590807895,2.5526961377040016,-0.31802391073069974,0.12735863965509328,-0.23670582071991064,0.02651155759267704
-1.5402747963403889,-1.1612942971865732,-1.3517197386438695,-0.719138483550953,-0.22849783463113943,-0.7164708708548353,1.0658622882719515,0.19917742343613262,-0.3783721256533664,0.5047425090256422
-2.720626357351059,2.822378634111307,1.833820534740457,0.17729002347669778,0.24833986772635563,1.2918464566981445,-0.4330709176409787,-0.22945438511067143,-0.0629487989752424,0.6836519696784749
-2.5405728011327486,-3.7899151025430795,2.483056633515977,-3.787942212690533,-1.8838301756532312,0.915038041311411,1.1618965575224403,0.7251756043853184,-0.28623155313569904,-0.125056383601163
-1.0872047721836768,0.13041090578710104,-2.931210805007572,-1.555805040816111,-1.2057362554529958,0.636612844307644,1.1457539370462084,0.323877025288015,-0.6825010249884654,0.4798872099430002
1.5944357261661388,-0.46790828482645,-1.3916416586188378,0.964096790347373,-0.04237058276835079,-0.27708480505267985,0.8644827372329591,0.18797491168339994,0.14198974447185372,-0.32496966242962944
0.4092836349158079,1.5471841746611115,2.288348617090498,1.3645785533081813,0.6874147027244684,-2.18651115374307,0.053076109801079074,0.3197835242492624,-0.20223422441230626,0.24745396483295679
2.6706276257496744,-3.6747362206325356,4.661047573027445,0.6635374594480057,-0.6342537926340412,1.6687984420792223,-0.9643611659156032,-4.240243519296036,-0.526152659412882,0.6037253034770079
0.31822097892766515,0.4247013540531396,-2.6853635865791534,-0.5185294482172071,-0.8013223430520227,0.30223287260149617,0.8584019727288962,0.265116834446502,-0.04768339076994373,-0.14366923036205412
-1.2637855365467792,-1.4344619073804323,-1.5176545070912044,-0.48036396818071936,-0.18311176263271425,-0.6715112235661335,1.0940371046959891,0.21028494514453927,-0.44409716043221154,0.5533183845381687
0.4569441456955326,-0.08233860234214846,-1.252993101685125,0.42551848477865484,-0.03325361003453238,-0.13378331231463736,0.919281169902897,0.33054855647856113,-0.5602284150555805,0.8492367275163358
1.6165220480049167,1.844393048054099,-0.8478136585139745,1.1444206930876435,-0.07936666009591,0.852725849719401,0.13356308481852508,0.18890205512495337,-0.4196038486098987,0.6026573745226116
-0.33314935429874043,0.8919898950371798,-2.202079058551164,-0.5590595642553907,-0.7360520204817611,0.643682865556004,1.1243046474978486,0.4181597020395665,-1.005056428491685,1.171939294850204
-1.279882309482171,-1.4341688117312532,-1.5040895251298538,-0.4664544259680012,-0.1407757179717098,-0.6328957849017955,1.047845985179533,0.24159837759470498,-0.5277868499209873,0.6899944152565147
-0.10410831529695869,-1.5959601961089505,-0.6871225113261705,0.33328194686385937,0.032474380016329754,-2.2612764089239388,-0.4088805518174145,0.34565547619556086,1.0170761306344858,-1.7688142546821841
2.2823951044128674,0.5778276677423622,-0.8374469121151986,1.3660966247320867,0.3491023454562539,-0.3768088881811441,-0.448233998451774,0.3739610715376406,0.5401941617725518,-0.7632345789626352
0.7710042651131106,-0.9501780025359962,-0.9670866342522312,-2.6496127669369467,-1.4735563397960367,-0.1260147435469729,-0.254692056197287,-0.49581224920717526,14.189544948747848,7.489491243065433
1.046405797614813,-0.46761929484271886,-1.960939375651359,-1.027880411146785,2.392901888304252,-0.13085727876090086,-1.1740231926096651,0.3215532126214559,-0.15796736667860733,0.13693107624712675
